Tenure Months,Location,Device Class,Games Product,Music Product,Education Product,Call Center,Video Product,Use MyApp,Payment Method,Monthly Purchase (Thou. IDR),Churn Label,Longitude,Latitude,CLTV (Predicted Thou. IDR)
2,Jakarta,Mid End,Yes,Yes,No,No,No,No,Digital Wallet,70.00500000000001,Yes,106.816666,-6.2,4210.7
2,Jakarta,High End,No,No,No,No,No,No,Pulsa,91.91000000000001,Yes,106.816666,-6.2,3511.3
8,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,129.54500000000002,Yes,106.816666,-6.2,6983.6
28,Jakarta,High End,No,No,Yes,Yes,Yes,Yes,Pulsa,136.24,Yes,106.816666,-6.2,6503.900000000001
49,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Debit,134.81,Yes,106.816666,-6.2,6942.0
10,Jakarta,Mid End,No,No,Yes,Yes,No,No,Credit,71.76,Yes,106.816666,-6.2,7702.5
1,Jakarta,Mid End,No,No,Yes,No,No,Yes,Pulsa,51.545,Yes,106.816666,-6.2,7062.900000000001
1,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26.195,Yes,106.816666,-6.2,6281.6
47,Jakarta,High End,No,Yes,No,No,Yes,Yes,Pulsa,129.155,Yes,106.816666,-6.2,7525.7
1,Jakarta,Mid End,No,Yes,No,No,No,No,Pulsa,39.26,Yes,106.816666,-6.2,3789.5
17,Jakarta,Mid End,No,No,No,No,Yes,Yes,Digital Wallet,84.11000000000001,Yes,106.816666,-6.2,3928.6
5,Jakarta,High End,No,No,No,No,No,No,Pulsa,90.61000000000001,Yes,106.816666,-6.2,3190.2000000000003
34,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,138.255,Yes,106.816666,-6.2,3823.3
11,Jakarta,High End,No,No,Yes,No,Yes,Yes,Debit,127.205,Yes,106.816666,-6.2,7376.2
2,Jakarta,High End,No,No,No,No,Yes,No,Pulsa,104.84500000000001,Yes,106.816666,-6.2,7261.8
15,Jakarta,High End,Yes,Yes,No,No,Yes,Yes,Credit,128.82999999999998,Yes,106.816666,-6.2,3855.8
8,Jakarta,High End,No,Yes,No,No,No,No,Credit,104.84500000000001,Yes,106.816666,-6.2,6892.6
18,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,124.08500000000001,Yes,106.816666,-6.2,4132.7
9,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,122.72000000000001,Yes,106.816666,-6.2,7242.3
1,Jakarta,High End,No,No,No,No,Yes,No,Pulsa,103.155,Yes,106.816666,-6.2,3227.9
